index,breathing_force
966,323142144
967,323273216
968,323379712
969,323535360
970,323641856
971,323715584
972,323822080
973,323944960
974,324051456
975,324166144
976,324264448
977,324346368
978,324436480
979,324518400
980,324624896
981,324723200
982,324755968
983,324796928
984,324813312
985,324706816
986,324526592
987,324190720
988,323854848
989,323633664
990,323445248
991,323363328
992,323215872
993,323060224
994,322937344
995,322822656
996,322724352
997,322609664
998,322511360
999,322429440
1000,322322944
1001,322241024
1002,322167296
1003,322118144
1004,322060800
1005,322028032
1006,321987072
1007,321946112
1008,321937920
1009,321946112
1010,321970688
1011,321937920
1012,322011648
1013,321987072
1014,321937920
1015,321847808
1016,321782272
1017,321749504
1018,321733120
1019,321675776
1020,321716736
1021,321659392
1022,321643008
1023,321651200
1024,321675776
1025,321683968
1026,321683968
1027,321667584
1028,321667584
1029,321651200
1030,321634816
1031,321634816
1032,321651200
1033,321667584
1034,321716736
1035,321741312
1036,321782272
1037,321798656
1038,321839616
1039,321888768
1040,321970688
1041,322011648
1042,322093568
1043,322044416
1044,322052608
1045,321962496
1046,321847808
1047,321815040
1048,321757696
1049,321708544
1050,321700352
1051,321643008
1052,321667584
1053,321733120
1054,321847808
1055,321978880
1056,322068992
1057,322183680
1058,322273792
1059,322380288
1060,322478592
1061,322593280
1062,322740736
1063,322855424
1064,322961920
1065,323092992
1066,323199488
1067,323305984
1068,323453440
1069,323568128
1070,323723776
1071,323863040
1072,323985920
1073,324116992
1074,324133376
1075,324182528
1076,324289024
1077,324354560
1078,324469248
1079,324510208
1080,324567552
1081,324641280
1082,324682240
1083,324665856
1084,324608512
1085,324510208
1086,324428288
1087,324305408
1088,324223488
1089,324043264
1090,323813888
1091,323568128
1092,323387904
1093,323273216
1094,323125760
1095,323076608
1096,323101184
1097,322937344
1098,322839040
1099,322658816
1100,322519552
1101,322445824
1102,322380288
1103,322339328
1104,322314752
1105,322257408
1106,322208256
1107,322200064
1108,322208256
1109,322183680
1110,322159104
1111,322167296
1112,322159104
1113,322126336
1114,322134528
1115,322118144
1116,322126336
1117,322150912
1118,322150912
1119,322150912
1120,322208256
1121,322273792
1122,322290176
1123,322388480
1124,322363904
1125,322339328
1126,322273792
1127,322191872
1128,322142720
1129,322118144
1130,322085376
1131,322077184
1132,322019840
1133,321995264
1134,322019840
1135,322019840
1136,322028032
1137,321978880
1138,321962496
1139,321921536
1140,321880576
1141,321856000
1142,321856000
1143,321888768
1144,321987072
1145,322068992
1146,322208256
1147,322306560
1148,322429440
1149,322568704
1150,322732544
1151,322896384
1152,323027456
1153,323207680
1154,323297792
1155,323428864
1156,323502592
1157,323543552
1158,323584512
1159,323707392
1160,323748352
1161,323912192
1162,323977728
1163,324076032
1164,324223488
1165,324379136
1166,324477440
1167,324542976
1168,324592128
1169,324608512
1170,324502016
1171,324321792
1172,324084224
1173,323879424
1174,323699200
1175,323543552
1176,323428864
1177,323346944
1178,323314176
1179,323207680
1180,323183104
1181,323125760
1182,322994688
1183,322863616
1184,322699776
1185,322560512
1186,322454016
1187,322347520
1188,322322944
1189,322232832
1190,322175488
1191,322150912
1192,322109952
1193,322101760
1194,322052608
1195,322028032
1196,322003456
1197,321970688
1198,321929728
1199,321921536
1200,321937920
1201,321937920
1202,321962496
1203,321962496
1204,321987072
1205,322003456
1206,322044416
1207,322101760
1208,322167296
1209,322216448
1210,322306560
1211,322249216
1212,322249216
1213,322175488
1214,322068992
1215,322036224
1216,321978880
1217,321946112
1218,321962496
1219,321913344
1220,321913344
1221,321946112
1222,321987072
1223,322028032
1224,321995264
1225,321987072
1226,321995264
1227,321970688
1228,321970688
1229,321987072
1230,322003456
1231,322036224
1232,322060800
1233,322085376
1234,322109952
1235,322159104
1236,322208256
1237,322273792
1238,322322944
1239,322372096
1240,322322944
1241,322331136
1242,322232832
1243,322134528
1244,322101760
1245,322036224
1246,321987072
1247,321970688
1248,321937920
1249,321978880
1250,322068992
1251,322200064
1252,322314752
1253,322396672
1254,322494976
1255,322585088
1256,322650624
1257,322740736
1258,322814464
1259,322920960
1260,323043840
1261,323142144
1262,323248640
1263,323371520
1264,323469824
1265,323600896
1266,323781120
1267,323904000
1268,324076032
1269,324231680
1270,324272640
1271,324436480
1272,324461056
1273,324493824
1274,324583936
1275,324624896
1276,324731392
1277,324764160
1278,324796928
1279,324846080
1280,324911616
1281,324977152
1282,324960768
1283,324911616
1284,324813312
1285,324690432
1286,324559360
1287,324452864
1288,324248064
1289,324035072
1290,323822080
1291,323650048
1292,323510784
1293,323346944
1294,323248640
1295,323166720
1296,323019264
1297,322896384
1298,322757120
1299,322617856
1300,322527744
1301,322421248
1302,322413056
1303,322322944
1304,322298368
1305,322257408
1306,322232832
1307,322224640
1308,322175488
1309,322150912
1310,322126336
1311,322093568
1312,322060800
1313,322068992
1314,322093568
1315,322109952
1316,322126336
1317,322183680
1318,322126336
1319,322159104
1320,322060800
1321,322003456
1322,321962496
1323,321913344
1324,321888768
1325,321774080
1326,321372672
1327,320020992
1328,318177792
1329,315441664
1330,312001024
1331,310485504
1332,309887488
1333,310542848
1334,314466816
1335,317252096
1336,319095296
1337,321233408
1338,322806272
1339,323502592
1340,323600896
1341,323609088
1342,323674624
1343,323764736
1344,323854848
1345,323961344
1346,324100608
1347,324256256
1348,324346368
1349,324493824
1350,324600320
1351,324739584
1352,324796928
1353,324895232
1354,324968960
1355,325059072
1356,325124608
1357,325206528
1358,325255680
1359,325313024
1360,325378560
1361,325419520
1362,325485056
1363,325509632
1364,325558784
1365,325575168
1366,325599744
1367,325665280
1368,325632512
1369,325542400
1370,325444096
1371,325288448
1372,325108224
1373,324567552
1374,323731968
1375,322748928
1376,321823232
1377,321094144
1378,320512512
1379,320127488
1380,319881728
1381,319603200
1382,319529472
1383,319414784
1384,318890496
1385,318284288
1386,317751808
1387,317022720
1388,316318208
1389,316310016
1390,317653504
1391,318882304
1392,319455744
1393,319922688
1394,320340480
1395,321110528
1396,321880576
1397,322175488
1398,322576896
1399,323052032
1400,323387904
1401,323781120
1402,324166144
1403,324551168
1404,324690432
1405,324567552
1406,324534784
1407,324297216
1408,324035072
1409,323895808
1410,323289600
1411,323232256
1412,323764736
1413,324149760
1414,324076032
1415,323633664
1416,323330560
1417,323117568
1418,323256832
1419,323674624
1420,323879424
1421,324076032
1422,324051456
1423,323854848
1424,323666432
1425,323453440
1426,323486208
1427,323559936
1428,323658240
1429,323772928
1430,323838464
1431,323936768
1432,323936768
1433,323944960
1434,324059648
1435,324223488
1436,324411904
1437,324510208
1438,324649472
1439,324755968
1440,324870656
1441,324993536
1442,325132800
1443,325255680
1444,325337600
1445,325444096
1446,325542400
1447,325575168
1448,325599744
1449,325632512
1450,325640704
1451,325673472
1452,325698048
1453,325763584
1454,325730816
1455,325657088
1456,325558784
1457,325419520
1458,325263872
1459,325083648
1460,324862464
1461,324616704
1462,324370944
1463,324125184
1464,323953152
1465,323772928
1466,323666432
1467,323633664
1468,323502592
1469,323420672
1470,323305984
1471,323215872
1472,323142144
1473,323052032
1474,323068416
1475,323027456
1476,322994688
1477,322970112
1478,322970112
1479,322994688
1480,322937344
1481,322912768
1482,322920960
1483,322920960
1484,322904576
1485,322912768
1486,322912768
1487,322912768
1488,322937344
1489,322970112
1490,322970112
1491,322994688
1492,323019264
1493,323043840
1494,323052032
1495,323101184
1496,323166720
1497,323224064
1498,323273216
1499,323387904
1500,323322368
1501,323322368
1502,323207680
1503,323109376
1504,323076608
1505,322994688
1506,322953728
1507,322937344
1508,322904576
1509,322896384
1510,322896384
1511,322945536
1512,322953728
1513,322945536
1514,322961920
1515,322945536
1516,322961920
1517,322937344
1518,322961920
1519,322961920
1520,322994688
1521,323027456
1522,323035648
1523,323043840
1524,323060224
1525,323133952
1526,323191296
1527,323248640
1528,323330560
1529,323412480
1530,323346944
1531,323355136
1532,323240448
1533,323150336
1534,323101184
1535,323043840
1536,323060224
1537,323084800
1538,323158528
1539,323297792
1540,323453440
1541,323617280
1542,323756544
1543,323920384
1544,324076032
1545,324231680
1546,324387328
1547,324518400
1548,324665856
1549,324796928
1550,324960768
1551,325100032
1552,325247488
1553,325329408
1554,325444096
1555,325526016
1556,325558784
1557,325632512
1558,325722624
1559,325747200
1560,325812736
1561,325837312
1562,325837312
1563,325870080
1564,325861888
1565,325870080
1566,325837312
1567,325739008
1568,325640704
1569,325534208
1570,325411328
1571,325247488
1572,325009920
1573,324772352
1574,324534784
1575,324305408
1576,324108800
1577,323928576
1578,323789312
1579,323674624
1580,323600896
1581,323527168
1582,323502592
1583,323453440
1584,323486208
1585,323469824
1586,323420672
1587,323338752
1588,323248640
1589,323191296
1590,323133952
1591,323092992
1592,323092992
1593,323043840
1594,323027456
1595,323060224
1596,323068416
1597,323076608
1598,323052032
1599,323043840
1600,323043840
1601,323027456
1602,323035648
1603,323035648
1604,323043840
1605,323052032
1606,323076608
1607,323150336
1608,323174912
1609,323224064
1610,323281408
1611,323314176
1612,323281408
1613,323265024
1614,323166720
1615,323109376
1616,323068416
1617,322994688
1618,323019264
1619,322978304
1620,322970112
1621,322986496
1622,323027456
1623,323035648
1624,323043840
1625,323043840
1626,323043840
1627,323035648
1628,323035648
1629,323035648
1630,323035648
1631,323052032
1632,323092992
1633,323101184
1634,323125760
1635,323166720
1636,323224064
1637,323248640
1638,323314176
1639,323387904
1640,323322368
1641,323379712
1642,323330560
1643,323305984
1644,323371520
1645,323420672
1646,323518976
1647,323625472
1648,323723776
1649,323871232
1650,324026880
1651,324198912
1652,324338176
1653,324461056
1654,324592128
1655,324715008
1656,324805120
1657,324919808
1658,325050880
1659,325165568
1660,325255680
1661,325362176
1662,325435904
1663,325485056
1664,325526016
1665,325591552
1666,325640704
1667,325673472
1668,325698048
1669,325624320
1670,325558784
1671,325452288
1672,325288448
1673,325165568
1674,324977152
1675,324846080
1676,324723200
1677,324608512
1678,324452864
1679,324280832
1680,324141568
1681,324002304
1682,323854848
1683,323740160
1684,323650048
1685,323559936
1686,323486208
1687,323437056
1688,323404288
1689,323396096
1690,323404288
1691,323396096
1692,323469824
1693,323428864
1694,323404288
1695,323330560
1696,323224064
1697,323158528
1698,323092992
1699,323043840
1700,323076608
1701,323019264
1702,323027456
1703,323043840
1704,323068416
1705,323076608
1706,323060224
1707,323068416
1708,323076608
1709,323043840
1710,323035648
1711,323043840
1712,323052032
1713,323060224
1714,323142144
1715,323142144
1716,323174912
1717,323207680
1718,323273216
1719,323338752
1720,323371520
1721,323445248
1722,323396096
1723,323404288
1724,323314176
1725,323183104
1726,323158528
1727,323092992
1728,323043840
1729,323027456
1730,322978304
1731,322994688
1732,323011072
1733,323019264
1734,323052032
1735,323027456
1736,323019264
1737,323011072
1738,322978304
1739,322986496
1740,322970112
1741,323011072
1742,323035648
1743,323068416
1744,323109376
1745,323117568
1746,323133952
1747,323166720
1748,323224064
1749,323305984
1750,323346944
1751,323412480
1752,323551744
1753,323510784
1754,323633664
1755,323609088
1756,323633664
1757,323723776
1758,323764736
1759,323863040
1760,323944960
1761,324051456
1762,324190720
1763,324346368
1764,324510208
1765,324616704
1766,324723200
1767,324829696
1768,324895232
1769,324993536
1770,325083648
1771,325206528
1772,325337600
1773,325468672
1774,325550592
1775,325624320
1776,325714432
1777,325763584
1778,325812736
1779,325878272
1780,325919232
1781,325943808
1782,325935616
1783,325837312
1784,325689856
1785,325534208
1786,325345792
1787,325198336
1788,325001728
1789,324837888
1790,324706816
1791,324592128
1792,324485632
1793,324338176
1794,324198912
1795,324067840
1796,323928576
1797,323789312
1798,323691008
1799,323617280
1800,323527168
1801,323478016
1802,323420672
1803,323396096
1804,323404288
1805,323379712
1806,323396096
1807,323453440
1808,323363328
1809,323346944
1810,323240448
1811,323150336
1812,323117568
1813,323060224
1814,323027456
1815,323035648
1816,323019264
1817,323002880
